activity,altitude,cause,age
mountaineering,3480,avalanche,25
climbing,,falling rocks,36
snow/ice/mixed,3600,falling rocks,29
hiking,1600,falling rocks,48
climbing,1700,falling rocks,
snow/ice/mixed,3800,falling rocks,61
backcountry,3300,,
backcountry,2090,avalanche,31
backcountry,2330,avalanche,
snow/ice/mixed,2500,avalanche,29
snow/ice/mixed,2000,falling ice,29
backcountry,1800,avalanche,
climbing,1800,,
climbing,1300,,25
backcountry,4050,crevasse,
climbing,850,,37
climbing,1650,avalanche,65
backcountry,3450,avalanche,
backcountry,3100,avalanche,
backcountry,1600,avalanche,31
backcountry,2500,avalanche,
snow/ice/mixed,3050,avalanche,37
backcountry,3300,crevasse,
backcountry,2450,avalanche,
backcountry,2130,avalanche,34
snow/ice/mixed,3800,falling ice,52
backcountry,2250,avalanche,
backcountry,2000,avalanche,
backcountry,2350,avalanche,
backcountry,2350,avalanche,
climbing,,,34
hiking,2800,,
climbing,925,,25
snow/ice/mixed,3500,,
snow/ice/mixed,3350,falling rocks,46
rock mountaineering,2500,falling rocks,30
backcountry,3100,,
climbing,1900,,
climbing,900,,
backcountry,3350,avalanche,
backcountry,1950,avalanche,45
backcountry,2260,avalanche,
backcountry,2700,avalanche,48
backcountry,2400,avalanche,
backcountry,1950,avalanche,
backcountry,1850,avalanche,35
ice climbing,1400,falling ice,41
backcountry,2500,avalanche,
rock mountaineering,,falling rocks,23
climbing,1950,,
rock mountaineering,3800,,
snow/ice/mixed,3400,crevasse,
climbing,700,,
snow/ice/mixed,3200,crevasse,
mountaineering,2650,,
backcountry,,crevasse,34
backcountry,3300,crevasse,36
backcountry,2709,avalanche,35
backcountry,2800,avalanche,32
backcountry,2050,avalanche,39
backcountry,1630,,45
snow/ice/mixed,4122,,33
snow/ice/mixed,3700,falling rocks,33
snow/ice/mixed,1600,,33
backcountry,2270,avalanche,36
ice climbing,1970,falling rocks,34
climbing,70,,
climbing,800,,35
mountaineering,3280,,
climbing,2300,falling rocks,
backcountry,4300,,
backcountry,3400,avalanche,
backcountry,2800,avalanche,38
backcountry,2700,avalanche,
backcountry,3100,,
backcountry,2660,avalanche,33
backcountry,3200,,
backcountry,2200,,49
backcountry,1700,avalanche,32
backcountry,1900,avalanche,
backcountry,2400,avalanche,
backcountry,1900,avalanche,
backcountry,3400,,44
backcountry,1900,avalanche,
backcountry,2100,avalanche,
rock mountaineering,2820,falling rocks,
rock mountaineering,3250,falling rocks,25
snow/ice/mixed,3600,,24
rock mountaineering,2850,falling rocks,51
climbing,960,,
backcountry,3600,,27
backcountry,2240,,27
backcountry,1900,avalanche,38
snow/ice/mixed,3650,,60
snow/ice/mixed,3500,,29
backcountry,1850,avalanche,
backcountry,2050,avalanche,
backcountry,1900,,44
snow/ice/mixed,3400,falling rocks,
backcountry,1990,avalanche,30
snow/ice/mixed,3700,falling rocks,
snow/ice/mixed,3620,,
rock mountaineering,3000,falling rocks,42
mountaineering,,,
backcountry,2850,avalanche,30
backcountry,2400,avalanche,34
backcountry,2400,avalanche,23
rock mountaineering,2300,falling rocks,34
climbing,1700,,26
backcountry,2100,,42
backcountry,1730,avalanche,26
climbing,2400,falling rocks,33
mountaineering,2860,,
backcountry,2900,avalanche,28
backcountry,3250,avalanche,28
backcountry,1650,avalanche,29
climbing,1150,,29
hiking,,lightning,26
rock mountaineering,,,23
backcountry,2200,avalanche,
backcountry,3080,avalanche,28
snow/ice/mixed,2920,avalanche,
climbing,1700,,20
backcountry,2440,avalanche,31
backcountry,1600,avalanche,31
backcountry,2600,avalanche,25
backcountry,2350,avalanche,22
backcountry,3400,avalanche,36
backcountry,3800,avalanche,31
backcountry,2000,avalanche,25
snow/ice/mixed,3400,falling rocks,29
climbing,2500,,
snow/ice/mixed,3400,falling rocks,30
backcountry,2880,avalanche,23
backcountry,3300,crevasse,19
snow/ice/mixed,3790,lightning,24
ice climbing,,avalanche,27
backcountry,2200,avalanche,30
backcountry,2245,avalanche,45
climbing,,,23
climbing,1350,,16
